currency,asset,strategy,profit[%],profit-market,profit/day[%],market change[%],trades/day,wins[%],best win,median wins,worst loss,median losses,avg HODL[min],candleSize,historySize,days,cur CMC rank,cur marketcap,open price,close,low,high,avg price,volatility,volume/day,cur CMC volume,overall trades/day,dataset from,to,strategy settings,note
USDT,BTC,RSI,0.00,29.65,0.00,-29.65,0.96,38.46,1.11,0.55,-14.11,-0.73,2180,10,73,28,1,173413644299,6603.23,4642.16,4326,6620.11,6162.73330768,9.0,22511,16699161180,157487,2018-10-24 11:14:00,2018-11-22 04:06:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,BTC,CCI,0.00,29.65,0.00,-29.65,1.57,50.00,3.32,0.3,-16.72,-0.76,1114,10,73,28,1,173413644299,6603.23,4642.16,4326,6620.11,6162.73330768,9.0,22511,16699161180,157487,2018-10-24 11:14:00,2018-11-22 04:06:00,constant = 0.015 history = 90 [thresholds] down = -100 persistence = 0 up = 100,first run
USDT,BTC,MACD,0.00,29.65,0.00,-29.65,13.68,11.52,4.82,0.24,-4.48,-0.35,110,10,73,28,1,173413644299,6603.23,4642.16,4326,6620.11,6162.73330768,9.0,22511,16699161180,157487,2018-10-24 11:14:00,2018-11-22 04:06:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,ETH,RSI,0.00,32.97,0.00,-32.97,1.21,58.82,6.25,1.28,-15.76,-0.7,1636,10,73,28,2,22236297267,206.99,138.75,126.95,224.8,196.04321107,11.0,216188,6590733382,93431,2018-10-24 10:52:00,2018-11-22 04:26:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,ETH,MACD,0.00,32.97,0.00,-32.97,8.57,20.00,5.61,0.5,-4.12,-0.56,173,10,73,28,2,22236297267,206.99,138.75,126.95,224.8,196.04321107,11.0,216188,6590733382,93431,2018-10-24 10:52:00,2018-11-22 04:26:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,RSI,0.00,29.65,0.00,-29.65,0.96,38.46,1.11,0.55,-14.11,-0.73,2180,10,73,28,1,173382505634,6603.23,4642.16,4326,6620.11,6162.73330768,9.0,22511,16523145602,157487,2018-10-24 11:14:00,2018-11-22 04:06:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,BTC,CCI,0.00,29.65,0.00,-29.65,1.57,50.00,3.32,0.3,-16.72,-0.76,1114,10,73,28,1,173382505634,6603.23,4642.16,4326,6620.11,6162.73330768,9.0,22511,16523145602,157487,2018-10-24 11:14:00,2018-11-22 04:06:00,constant = 0.015 history = 90 [thresholds] down = -100 persistence = 0 up = 100,first run
USDT,ETH,CCI,0.00,32.97,0.00,-32.97,1.32,55.56,3.49,0.47,-20.05,-2.07,1306,10,73,28,2,22236297267,206.99,138.75,126.95,224.8,196.04321107,11.0,216188,6590733382,93431,2018-10-24 10:52:00,2018-11-22 04:26:00,constant = 0.015 history = 90 [thresholds] down = -100 persistence = 0 up = 100,first run
USDT,BTC,MACD,0.00,29.65,0.00,-29.65,13.68,11.52,4.82,0.24,-4.48,-0.35,110,10,73,28,1,173382505634,6603.23,4642.16,4326,6620.11,6162.73330768,9.0,22511,16523145602,157487,2018-10-24 11:14:00,2018-11-22 04:06:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,LTC,MACD,0.00,34.30,0.00,-34.30,5.36,24.00,8.20,1.2,-5.03,-1.01,257,10,73,28,4,5671317844,53.64,35.24,31.47,56.92,48.95855098,11.8,109778,2706171492,15826,2018-10-24 10:52:00,2018-11-22 04:26:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,LTC,RSI,0.00,34.30,0.00,-34.30,1.25,41.18,4.89,1.44,-15.11,-1.63,1610,10,73,28,4,5671317844,53.64,35.24,31.47,56.92,48.95855098,11.8,109778,2706171492,15826,2018-10-24 10:52:00,2018-11-22 04:26:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,LTC,CCI,0.00,34.30,0.00,-34.30,1.46,45.00,4.48,0.29,-12.23,-2.45,1322,10,73,28,4,5671317844,53.64,35.24,31.47,56.92,48.95855098,11.8,109778,2706171492,15826,2018-10-24 10:52:00,2018-11-22 04:26:00,constant = 0.015 history = 90 [thresholds] down = -100 persistence = 0 up = 100,first run
